,t,p,v,replicate,alpha,error
0,10000,2.2,0.775,2,-1.01033,0.6716
0,10000,2.2,0.8,2,-1.0028,0.4856
0,10000,2.2,0.825,2,-0.99842,0.7072
0,10000,2.2,0.85,2,-0.9891,0.5994
0,10000,2.2,0.875,2,-0.97156,0.5574
0,10000,2.2,0.9,2,-0.96129,0.5682
0,10000,2.2,0.925,2,-0.97195,0.5889
0,10000,2.2,0.95,2,-0.95742,0.528
0,10000,2.2,0.975,2,-0.95183,0.4205
0,10000,2.2,1.0,2,-0.95134,0.4762
0,10000,2.3,0.5,2,-1.12404,1.5921
0,10000,2.3,0.525,2,-1.13362,1.8953
0,10000,2.3,0.55,2,-1.10546,1.43
0,10000,2.3,0.575,2,-1.14679,2.3556
0,10000,2.3,0.6,2,-1.09029,1.2347
0,10000,2.3,0.625,2,-1.07047,1.0252
0,10000,2.3,0.65,2,-1.09889,1.4162
0,10000,2.3,0.675,2,-1.06844,1.1909
0,10000,2.3,0.7,2,-1.06172,1.2145
0,10000,2.3,0.725,2,-1.05699,1.0727
0,10000,2.3,0.75,2,-1.05998,1.144
